NAME,B19202G_001E,state,county,year
"Washington County, Mississippi",-666666666.0,28,151,2018
"Perry County, Mississippi",-666666666.0,28,111,2018
"Choctaw County, Mississippi",-666666666.0,28,019,2018
"Itawamba County, Mississippi",-666666666.0,28,057,2018
"Carroll County, Mississippi",-666666666.0,28,015,2018
"Grenada County, Mississippi",-666666666.0,28,043,2018
"Jefferson County, Mississippi",-666666666.0,28,063,2018
"Greene County, Mississippi",-666666666.0,28,041,2018
"Marshall County, Mississippi",-666666666.0,28,093,2018
"Quitman County, Mississippi",-666666666.0,28,119,2018
"Bolivar County, Mississippi",-666666666.0,28,011,2018
"Lamar County, Mississippi",-666666666.0,28,073,2018
"Lee County, Mississippi",43750.0,28,081,2018
"Pike County, Mississippi",-666666666.0,28,113,2018
"Tallahatchie County, Mississippi",-666666666.0,28,135,2018
"Smith County, Mississippi",-666666666.0,28,129,2018
"Stone County, Mississippi",-666666666.0,28,131,2018
"Warren County, Mississippi",-666666666.0,28,149,2018
"Clarke County, Mississippi",-666666666.0,28,023,2018
"Kemper County, Mississippi",-666666666.0,28,069,2018
"Montgomery County, Mississippi",2499.0,28,097,2018
"Oktibbeha County, Mississippi",21587.0,28,105,2018
"Pearl River County, Mississippi",-666666666.0,28,109,2018
"Leake County, Mississippi",-666666666.0,28,079,2018
"Noxubee County, Mississippi",-666666666.0,28,103,2018
"Neshoba County, Mississippi",15825.0,28,099,2018
"Rankin County, Mississippi",40478.0,28,121,2018
"Tate County, Mississippi",-666666666.0,28,137,2018
"Lawrence County, Mississippi",-666666666.0,28,077,2018
"Panola County, Mississippi",-666666666.0,28,107,2018
"Yalobusha County, Mississippi",-666666666.0,28,161,2018
"Chickasaw County, Mississippi",-666666666.0,28,017,2018
"Copiah County, Mississippi",-666666666.0,28,029,2018
"George County, Mississippi",-666666666.0,28,039,2018
"Hinds County, Mississippi",23250.0,28,049,2018
"Newton County, Mississippi",-666666666.0,28,101,2018
"Union County, Mississippi",-666666666.0,28,145,2018
"Sharkey County, Mississippi",-666666666.0,28,125,2018
"Tippah County, Mississippi",-666666666.0,28,139,2018
"Forrest County, Mississippi",-666666666.0,28,035,2018
"Hancock County, Mississippi",21204.0,28,045,2018
"Lafayette County, Mississippi",40781.0,28,071,2018
"Issaquena County, Mississippi",-666666666.0,28,055,2018
"Lowndes County, Mississippi",-666666666.0,28,087,2018
"Leflore County, Mississippi",-666666666.0,28,083,2018
"Wilkinson County, Mississippi",-666666666.0,28,157,2018
"Harrison County, Mississippi",49954.0,28,047,2018
"Jefferson Davis County, Mississippi",-666666666.0,28,065,2018
"Lincoln County, Mississippi",-666666666.0,28,085,2018
"Scott County, Mississippi",-666666666.0,28,123,2018
"Winston County, Mississippi",-666666666.0,28,159,2018
"Yazoo County, Mississippi",-666666666.0,28,163,2018
"Benton County, Mississippi",6316.0,28,009,2018
"Franklin County, Mississippi",-666666666.0,28,037,2018
"Jasper County, Mississippi",20833.0,28,061,2018
"Jones County, Mississippi",-666666666.0,28,067,2018
"Monroe County, Mississippi",-666666666.0,28,095,2018
"Sunflower County, Mississippi",13857.0,28,133,2018
"Webster County, Mississippi",2499.0,28,155,2018
"Adams County, Mississippi",14750.0,28,001,2018
"Clay County, Mississippi",-666666666.0,28,025,2018
"Covington County, Mississippi",-666666666.0,28,031,2018
"Humphreys County, Mississippi",-666666666.0,28,053,2018
"Saline County, Missouri",40500.0,29,195,2018
"Madison County, Missouri",10761.0,29,123,2018
"Wright County, Missouri",-666666666.0,29,229,2018
"Vernon County, Missouri",33430.0,29,217,2018
"Nodaway County, Missouri",43846.0,29,147,2018
"Chariton County, Missouri",-666666666.0,29,041,2018
"Grundy County, Missouri",-666666666.0,29,079,2018
"Morgan County, Missouri",-666666666.0,29,141,2018
"Wayne County, Missouri",-666666666.0,29,223,2018
"Bollinger County, Missouri",-666666666.0,29,017,2018
"Cape Girardeau County, Missouri",18594.0,29,031,2018
"Shelby County, Missouri",-666666666.0,29,205,2018
"Webster County, Missouri",16538.0,29,225,2018
"Atchison County, Missouri",24000.0,29,005,2018
"Bates County, Missouri",-666666666.0,29,013,2018
"Benton County, Missouri",-666666666.0,29,015,2018
"Carter County, Missouri",-666666666.0,29,035,2018
"Dade County, Missouri",43864.0,29,057,2018
"Linn County, Missouri",-666666666.0,29,115,2018
"Howell County, Missouri",26188.0,29,091,2018
"Johnson County, Missouri",17614.0,29,101,2018
"Laclede County, Missouri",-666666666.0,29,105,2018
"Maries County, Missouri",-666666666.0,29,125,2018
"Phelps County, Missouri",-666666666.0,29,161,2018
"Platte County, Missouri",37321.0,29,165,2018
"St. Francois County, Missouri",17083.0,29,187,2018
"Andrew County, Missouri",-666666666.0,29,003,2018
"Carroll County, Missouri",-666666666.0,29,033,2018
"Daviess County, Missouri",-666666666.0,29,061,2018
"Knox County, Missouri",-666666666.0,29,103,2018
"Marion County, Missouri",-666666666.0,29,127,2018
"Osage County, Missouri",20769.0,29,151,2018
"Ripley County, Missouri",8833.0,29,181,2018
"Warren County, Missouri",41131.0,29,219,2018
"Audrain County, Missouri",27778.0,29,007,2018
"Christian County, Missouri",72526.0,29,043,2018
"Greene County, Missouri",27788.0,29,077,2018
"Harrison County, Missouri",-666666666.0,29,081,2018
"St. Clair County, Missouri",19886.0,29,185,2018
"Adair County, Missouri",-666666666.0,29,001,2018
"Scotland County, Missouri",-666666666.0,29,199,2018
"Sullivan County, Missouri",63125.0,29,211,2018
"Clark County, Missouri",-666666666.0,29,045,2018
"Jefferson County, Missouri",26350.0,29,099,2018
"Lewis County, Missouri",-666666666.0,29,111,2018
"New Madrid County, Missouri",13523.0,29,143,2018
"Perry County, Missouri",-666666666.0,29,157,2018
"Ralls County, Missouri",-666666666.0,29,173,2018
"Ray County, Missouri",6628.0,29,177,2018
"St. Louis County, Missouri",33580.0,29,189,2018
"Stone County, Missouri",14246.0,29,209,2018
"Barry County, Missouri",-666666666.0,29,009,2018
"Boone County, Missouri",35547.0,29,019,2018
"Cedar County, Missouri",-666666666.0,29,039,2018
"Crawford County, Missouri",13438.0,29,055,2018
"Iron County, Missouri",16528.0,29,093,2018
"Livingston County, Missouri",-666666666.0,29,117,2018
"Moniteau County, Missouri",-666666666.0,29,135,2018
"Oregon County, Missouri",21750.0,29,149,2018
"Dunklin County, Missouri",-666666666.0,29,069,2018
"Pettis County, Missouri",25750.0,29,159,2018
"Ste. Genevieve County, Missouri",-666666666.0,29,186,2018
"Randolph County, Missouri",21250.0,29,175,2018
"Franklin County, Missouri",20405.0,29,071,2018
"Howard County, Missouri",-666666666.0,29,089,2018
"Jackson County, Missouri",33654.0,29,095,2018
"Miller County, Missouri",8778.0,29,131,2018
"Pulaski County, Missouri",47003.0,29,169,2018
"Putnam County, Missouri",-666666666.0,29,171,2018
"Taney County, Missouri",-666666666.0,29,213,2018
"Texas County, Missouri",30380.0,29,215,2018
"Buchanan County, Missouri",22217.0,29,021,2018
"Caldwell County, Missouri",48750.0,29,025,2018
"Callaway County, Missouri",29118.0,29,027,2018
"Cass County, Missouri",22904.0,29,037,2018
"Clinton County, Missouri",-666666666.0,29,049,2018
"Cooper County, Missouri",9625.0,29,053,2018
"Dallas County, Missouri",-666666666.0,29,059,2018
"Gentry County, Missouri",-666666666.0,29,075,2018
"Hickory County, Missouri",17500.0,29,085,2018
"Lincoln County, Missouri",-666666666.0,29,113,2018
"Mississippi County, Missouri",-666666666.0,29,133,2018
"Monroe County, Missouri",43750.0,29,137,2018
"Newton County, Missouri",17500.0,29,145,2018
"Ozark County, Missouri",2499.0,29,153,2018
"Pike County, Missouri",-666666666.0,29,163,2018
"St. Charles County, Missouri",40400.0,29,183,2018
"Custer County, Montana",250001.0,30,017,2018
"Hill County, Montana",32969.0,30,041,2018
"Powder River County, Montana",-666666666.0,30,075,2018
"Park County, Montana",-666666666.0,30,067,2018
"Roosevelt County, Montana",50179.0,30,085,2018
"Blaine County, Montana",-666666666.0,30,005,2018
"Liberty County, Montana",-666666666.0,30,051,2018
"Richland County, Montana",-666666666.0,30,083,2018
"Teton County, Montana",36786.0,30,099,2018
"Toole County, Montana",-666666666.0,30,101,2018
"Fallon County, Montana",-666666666.0,30,025,2018
"Daniels County, Montana",-666666666.0,30,019,2018
"Judith Basin County, Montana",-666666666.0,30,045,2018
"Silver Bow County, Montana",26853.0,30,093,2018
"Deer Lodge County, Montana",9188.0,30,023,2018
"Jefferson County, Montana",-666666666.0,30,043,2018
"McCone County, Montana",-666666666.0,30,055,2018
"Wheatland County, Montana",-666666666.0,30,107,2018
"Rosebud County, Montana",-666666666.0,30,087,2018
"Carter County, Montana",-666666666.0,30,011,2018
"Dawson County, Montana",-666666666.0,30,021,2018
"Broadwater County, Montana",-666666666.0,30,007,2018
"Lake County, Montana",31481.0,30,047,2018
"Pondera County, Montana",-666666666.0,30,073,2018
"Yellowstone County, Montana",24102.0,30,111,2018
"Ravalli County, Montana",27478.0,30,081,2018
"Valley County, Montana",30000.0,30,105,2018
"Fergus County, Montana",-666666666.0,30,027,2018
"Mineral County, Montana",-666666666.0,30,061,2018
"Petroleum County, Montana",-666666666.0,30,069,2018
"Sanders County, Montana",14250.0,30,089,2018
"Flathead County, Montana",32337.0,30,029,2018
"Wibaux County, Montana",-666666666.0,30,109,2018
"Meagher County, Montana",-666666666.0,30,059,2018
"Carbon County, Montana",20500.0,30,009,2018
"Phillips County, Montana",-666666666.0,30,071,2018
"Adams County, Nebraska",-666666666.0,31,001,2018
"Lancaster County, Nebraska",29447.0,31,109,2018
"Boone County, Nebraska",-666666666.0,31,011,2018
"Rock County, Nebraska",-666666666.0,31,149,2018
"Banner County, Nebraska",-666666666.0,31,007,2018
"Sherman County, Nebraska",-666666666.0,31,163,2018
"Richardson County, Nebraska",85804.0,31,147,2018
"Howard County, Nebraska",-666666666.0,31,093,2018
"Holt County, Nebraska",-666666666.0,31,089,2018
"Furnas County, Nebraska",-666666666.0,31,065,2018
"Gosper County, Nebraska",-666666666.0,31,073,2018
"Saline County, Nebraska",-666666666.0,31,151,2018
"Sarpy County, Nebraska",34594.0,31,153,2018
"Thurston County, Nebraska",17813.0,31,173,2018
"Washington County, Nebraska",-666666666.0,31,177,2018
"Boyd County, Nebraska",-666666666.0,31,015,2018
"Cherry County, Nebraska",30125.0,31,031,2018
